2026-08-21,09:16:03,8,3,W
2026-08-21,09:16:06,6,8,R
2026-08-21,09:16:09,4,0,R
2026-08-21,09:16:12,7,4,R
2026-08-21,09:16:15,7,1,W
2026-08-21,09:16:18,8,7,W
2026-08-21,09:16:21,0,3,W
2026-08-21,09:16:24,7,2,R
2026-08-21,09:16:27,5,7,R
2026-08-21,09:16:30,6,5,W
2026-08-21,09:16:33,5,6,W
2026-08-21,09:16:36,3,1,W
2026-08-21,09:16:39,6,2,R
2026-08-21,09:16:42,6,3,R
2026-08-21,09:16:45,8,1,W
2026-08-21,09:16:48,4,3,W
2026-08-21,09:16:51,7,6,R
2026-08-21,09:16:54,7,0,R
2026-08-21,09:16:57,8,4,R
2026-08-21,09:17:00,0,1,R
2026-08-21,09:17:03,5,8,W
2026-08-21,09:17:06,7,1,W
2026-08-21,09:17:09,5,0,W
