2026-08-25,10:30:22,8,6,W
2026-08-25,10:30:25,7,3,R
2026-08-25,10:30:28,0,1,W
2026-08-25,10:30:31,3,2,R
2026-08-25,10:30:34,1,0,W
2026-08-25,10:30:37,8,7,W
2026-08-25,10:30:40,2,2,R
2026-08-25,10:30:43,4,0,R
2026-08-25,10:30:46,7,2,W
2026-08-25,10:30:49,3,4,R
2026-08-25,10:30:52,7,1,W
2026-08-25,10:30:55,1,5,W
2026-08-25,10:30:58,1,5,W
2026-08-25,10:31:01,5,6,R
2026-08-25,10:31:04,1,6,W
2026-08-25,10:31:07,0,3,W
2026-08-25,10:31:10,3,3,R
2026-08-25,10:31:13,6,4,W
2026-08-25,10:31:16,7,0,W
2026-08-25,10:31:19,5,2,R
2026-08-25,10:31:22,1,7,R
2026-08-25,10:31:25,1,8,R
2026-08-25,10:31:28,7,6,W
2026-08-25,10:31:31,3,1,R
2026-08-25,10:31:34,2,2,W
2026-08-25,10:31:37,2,3,W
2026-08-25,10:31:40,2,2,W
2026-08-25,10:31:43,5,0,R
2026-08-25,10:31:46,8,6,R
2026-08-25,10:31:49,0,1,R
2026-08-25,10:31:52,0,3,W
2026-08-25,10:31:55,6,7,W
2026-08-25,10:31:58,2,7,W
2026-08-25,10:32:01,7,5,R
2026-08-25,10:32:04,6,0,W
2026-08-25,10:32:07,1,3,R
2026-08-25,10:32:10,2,4,W
2026-08-25,10:32:13,3,3,R
2026-08-25,10:32:16,3,4,W
2026-08-25,10:32:19,5,8,R
2026-08-25,10:32:22,4,5,W
2026-08-25,10:32:25,8,4,R
2026-08-25,10:32:28,7,6,R
2026-08-25,10:32:31,5,5,W
2026-08-25,10:32:34,4,6,R
2026-08-25,10:32:37,3,6,R
2026-08-25,10:32:40,0,6,R
2026-08-25,10:32:43,6,7,R
2026-08-25,10:32:46,4,4,R
2026-08-25,10:32:49,8,0,W
2026-08-25,10:32:52,8,1,R
2026-08-25,10:32:55,7,0,R
2026-08-25,10:32:58,5,2,W
2026-08-25,10:33:01,3,1,W
2026-08-25,10:33:04,0,5,R
2026-08-25,10:33:07,3,8,R
